tc0000,"ABEILLE, Gaspard","LYNCÉE, TRAGÉDIE.",1678,1681,Tragédie,mythe grec,Cinq actes,vers,ABEILLE_LYNCEE
tc0001,"AIGUEBERRE, Jean Dumas d'","L'AVARE AMOUREUX, COMÉDIE",n.av.,1781,Comédie,moeurs françaises,Un acte,prose,AIGUEBERRE_AVAREAMOUREUX
tc0002,"AIGUEBERRE, Jean Dumas d'","PAN ET DORIS, PASTORALE",n.av.,1729,Pastorale,divers,Un acte,vers,AIGUEBERRE_PANETDORIS
tc0003,"AIGUEBERRE, Jean Dumas d'","POLIXÈNE, TRAGÉDIE",n.av.,1729,Comédie,divers,Un acte,vers,AIGUEBERRE_POLIXENE
tc0004,"AIGUEBERRE, Jean Dumas d'","TROIS SPECTACLES, PROLOGUE",n.av.,1729,Prologue,moeurs françaises,Un acte,prose,AIGUEBERRE_PROLOGUE
tc0005,"ALAIN, Robert","L'ÉPREUVE RÉCIPROQUE, COMÉDIE",1732,1711,Comédie,moeurs françaises,Un acte,prose,ALAINLEGRAND_EPREUVERECIPROQUE
tc0006,"SOULAS d'ALLAINVAL, Abbé Léonor Jean Christine","L'ÉCOLE DES BOURGEOIS, COMÉDIE.",n.av.,1728,Comédie,moeurs françaises,Trois actes,prose,ALLAINVAL_ECOLEDESBOURGEOIS
tc0007,"SOULAS d'ALLAINVAL, Abbé Léonor Jean Christine","L'HIVER, COMÉDIE.",n.av.,1733,Comédie,mythe grec,Un acte,mixte,ALLAINVAL_HIVER
tc0008,"ANDRIEUX, François Guilaume Jean Stanislas","ANAXIMANDRE, COMÉDIE.",1782,1784,Comédie,moeurs orientales,Un acte,vers,ANDRIEUX_ANAXIMANDRE
tc0009,(Anonyme),"L'ACTRICE NOUVELLE, COMÉDIE",n.av.,1722,Comédie,moeurs françaises,Un acte,vers,ANONYME_ACTRICENOUVELLE
tc0010,(anonyme),"LES BONNES GENS, PETITE PIÈCE EN UN ACTE, ET EN VERS.",n.av.,1772,Comédie,moeurs polonaises,Un acte,vers,ANONYME_BONNESGENS
